LCSC Part Number,Manufacture Part Number,Manufacturer,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price($),Order Price($)
C496128,DBT50G-7.62-3P-BK-P,DORABO,"Plugin,P=7.62mm","1x3P Corner pin Barrier Block 3 1 7.62mm -40℃~+105℃ 20A 300V Black 12~22 Straight pin Plugin,P=7.62mm  Barrier Terminal Blocks ROHS",YES,5,5\5,0.3258,1.63
C273548,VDR-07D221K,VDR   Varistor,Plugin,360V 180V 140V 198V~242V Plugin  Varistors ROHS,YES,20,20\20,0.0328,0.66
C5184828,HX DC005,hanxia,Plugin,Right-Angle DC Power Receptacle -25℃~+85℃ 1A 12V Plugin  DC Power Connector ROHS,YES,10,10\10,0.0449,0.45
C7528252,SS1045C,Shandong Jingdao Microelectronics,SMC,45V 10A 550mV@10A SMC  Schottky Diodes ROHS,YES,5,5\5,0.1075,0.54
C362092,SMBJ5.0CA,Shenzhen Jinkaisheng Elec,SMB(DO-214AA),65.2A 600W 9.2V 6.4V Bi-Directional 5V SMB(DO-214AA)  ESD and Surge Protection (TVS/ESD) ROHS,YES,10,10\10,0.0428,0.43
C5189958,CYA0630-10UH,SHOU HAN,"SMD,7.2x6.6mm","4A 10uH ±20% 71mΩ SMD,7.2x6.6mm  Inductors (SMD) ROHS",YES,5,5\5,0.1045,0.52
C5189935,CYA0650-10UH,SHOU HAN,"SMD,7.2x6.6mm","4.5A 10uH ±20% 48mΩ SMD,7.2x6.6mm  Inductors (SMD) ROHS",YES,5,5\5,0.1754,0.88
C694469,C3225X7R1C156MT000N,TDK,1210,16V 15uF X7R ±20% 1210  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,5,5\5,0.2165,1.08
C84259,NCD0805B2,Foshan NationStar Optoelectronics,805,20mA 无色透明透镜 20mcd~55mcd 468nm~478nm -30℃~+85℃ Blue 130° 72mW 2.5V~3.6V 0805  Light Emitting Diodes (LED) ROHS,YES,20,20\20,0.0216,0.43
C3017834,SCR0805J330R,VO,805,125mW Thick Film Resistors 150V ±5% 330Ω 0805  Chip Resistor - Surface Mount ROHS,YES,100,100\100,0.0007,0.07
C5120075,0805B104K250NT,FH (Guangdong Fenghua Advanced Tech),805,25V 100nF X7R ±10% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,200,100\100,0.0039,0.78
C7393962,TCC0805X7R475M250FT,CCTC,805,25V 4.7uF X7R ±20% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,50,20\20,0.0087,0.44
C395031,CMP321609XD6R8MT,FH (Guangdong Fenghua Advanced Tech),1206,500mA 6.8uH ±20% 450mΩ 1206  Inductors (SMD) ROHS,YES,20,20\20,0.0287,0.57
C3031179,B0512S-1WR3,YLPTEC,Plugin, Plugin  Isolated Power Modules ROHS,YES,5,2\2,0.8751,4.38
C7473214,SMF12CA-MS,MSKSEMI,SOD-123FL,10.1A 19.9V 200W 13.3V 12V SOD-123FL  ESD and Surge Protection (TVS/ESD) ROHS,YES,50,50\50,0.0141,0.71
C281113,MGFL2012F100MT-LF,microgate,805,500mA 10uH ±20% 320mΩ 0805  Inductors (SMD) ROHS,YES,10,10\10,0.0406,0.41
C602037,CL21A226MAYNNNE,Samsung Electro-Mechanics,805,25V 22uF X5R ±20% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,20,20\20,0.0237,0.47
C2828857,ARG05FTC5000,Viking Tech,805,125mW Thin Film Resistor 150V ±25ppm/℃ ±1% 500Ω 0805  Chip Resistor - Surface Mount ROHS,YES,50,50\50,0.0089,0.45
C3017842,SCR0805J1K,VO,805,125mW Thick Film Resistors 150V ±5% 1kΩ 0805  Chip Resistor - Surface Mount ROHS,YES,100,100\100,0.0013,0.13
C1713,CL21A106KOQNNNE,Samsung Electro-Mechanics,805,16V 10uF X5R ±10% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,50,50\50,0.009,0.45
C7503641,B0505S-1WR2,EVISUN,SIP4, SIP4  Isolated Power Modules ROHS,YES,5,1\1,0.7319,3.66
C2925442,SMAJ5.0CA,Liown,DO-214AC(SMA),43.5A 9.2V 400W 6.4V 5V DO-214AC(SMA)  ESD and Surge Protection (TVS/ESD) ROHS,YES,20,20\20,0.0257,0.51
C5448893,TCC0805X7R225M250FT,CCTC,805,25V 2.2uF X7R ±20% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,50,50\50,0.0087,0.44
C7393927,TCC0805X5R105M250DT,CCTC,805,25V 1uF X5R ±20% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,100,100\100,0.0053,0.53
C5189938,CYA0650-47UH,SHOU HAN,"SMD,7.2x6.6mm","2A 47uH ±20% 250mΩ SMD,7.2x6.6mm  Inductors (SMD) ROHS",YES,5,5\5,0.1904,0.95
C525401,S3MB,LRC,SMB,3A Single 1.1V 1kV SMB  Diodes - General Purpose ROHS,YES,10,10\10,0.0374,0.37
